-1741 -86 -3648; -8 -63 -65
-1735 -65 -3673; -47 -63 -67
-1801 -39 -3721; -59 -64 -70
-1894 -65 -3810; -23 -65 -69
-1919 -78 -3789; 68 -63 -71
-1818 -102 -3714; 156 -71 -67
-1806 -104 -3698; 178 -69 -70
-1716 -148 -3612; 145 -72 -72
-1685 -89 -3607; 90 -74 -74
-1828 -42 -3601; 40 -75 -74
-1849 -87 -3601; 13 -76 -73
-1822 -147 -3574; 5 -75 -76
-1829 -62 -3616; 33 -70 -77
-1843 -71 -3683; 66 -70 -76
-1874 -89 -3699; 103 -65 -74
-1806 -72 -3692; 156 -65 -75
-1864 3 -3652; 165 -66 -74
-1707 30 -3707; 120 -69 -74
-1750 -73 -3653; 53 -69 -77
-1783 -96 -3656; 15 -71 -76
-1782 -66 -3616; 20 -69 -78
-1714 9 -3746; 9 -68 -81
-1717 -71 -3696; 17 -68 -82
-1754 -38 -3673; 41 -69 -84
-1721 4 -3716; 46 -70 -82
-1752 37 -3724; 42 -70 -82
-1772 -6 -3677; 36 -71 -81
-1861 -62 -3631; 25 -69 -82
-1895 -14 -3742; 6 -68 -82
-1850 -151 -3685; 1 -71 -79
-1772 0 -3721; 47 -72 -79
-1685 -45 -3717; 68 -72 -79
-1715 0 -3642; 25 -77 -76
-1732 -31 -3706; -21 -79 -77
-1671 -93 -3656; -50 -82 -76
-1679 95 -3790; -58 -88 -75
-1833 -1 -3744; -65 -93 -76
-1649 10 -3710; -94 -97 -73
-1722 -7 -3808; -104 -106 -68
-1675 -62 -3826; -72 -114 -67
-1689 -55 -3822; -24 -120 -63
-1742 -69 -3693; 38 -129 -62
-1937 -23 -3692; 80 -135 -55
-1848 -74 -3586; 77 -139 -50
-1860 26 -3531; 35 -148 -45
-1847 -54 -3513; -50 -149 -41
-1826 -45 -3531; -181 -153 -37
-1744 -21 -3588; -296 -155 -31
-1781 44 -3708; -319 -158 -24
-1960 25 -3731; -258 -160 -17
-1841 -23 -3673; -141 -165 -12
-1864 53 -3764; -12 -173 -7
-1978 29 -3723; 107 -174 -1
-1705 77 -3665; 189 -179 3
-1874 110 -3584; 180 -185 9
-1937 84 -3593; 79 -188 12
-1897 50 -3445; -76 -192 13
-2029 151 -3537; -208 -200 18
-1901 106 -3541; -278 -201 17
-1819 53 -3628; -286 -202 15
-1808 104 -3739; -198 -203 18
-1988 272 -3759; -10 -205 19
-1981 243 -3626; 166 -208 21
-1861 184 -3460; 248 -206 16
-1994 133 -3314; 198 -206 12
