-2322 3811 2639; 1935 -3221 184
-830 2432 1509; 569 -353 474
-648 2219 1032; 208 -220 285
-396 4298 595; 75 -226 338
-821 4001 2508; 168 -301 343
-1158 2848 1096; 170 -241 336
-961 3654 3077; 173 -259 406
-1510 5293 2914; 817 -309 407
-1152 3304 3054; 1406 -275 142
-970 3008 398; 700 -157 135
-1163 4688 533; 231 -189 336
-1295 2076 1316; 40 -355 58
-1112 2599 947; -184 -192 9
-1020 3605 1813; 66 -177 173
-1051 2789 2053; 293 -213 169
-1153 2246 733; 143 -178 96
-1108 3300 1221; 115 -174 209
-1148 3172 1441; 148 -210 229
-1181 2478 979; 97 -198 170
-1138 3133 1372; 93 -224 228
-1036 3522 1543; 75 -247 280
-1019 2930 1203; 40 -234 232
-979 3276 1369; 51 -253 255
-924 3669 1570; 47 -279 303
-2100 7435 3782; 41 -267 273
-684 6938 3633; 66 -215 115
-1164 4935 1206; 53 -281 142
-1218 6166 2268; 447 -358 269
-905 3691 990; 593 -303 20
-627 2302 1483; 468 -283 -57
177 1439 -1273; 364 -317 61
-224 4089 2979; 750 -281 488
196 2318 -759; 1148 -294 75
769 3800 -197; 1016 -343 150
530 5287 1578; 254 -612 231
-596 4919 2343; -302 -523 21
-1251 3822 913; 43 -515 -41
-1066 4190 671; -1624 -551 -126
-1381 4694 2153; -1421 -635 -112
-1262 4091 3359; 1 -630 -108
-722 2631 2701; 861 -502 -157
-437 2871 1948; 867 -506 -166
-677 2735 2493; 271 -570 -121
-706 2220 1170; -349 -481 -67
-1216 2067 2579; -453 -491 -8
-1178 2716 3923; -290 -525 71
-1610 3926 1852; -173 -404 136
-1245 3463 3403; -62 -379 173
-1749 4293 3211; 23 -332 207
-1561 4026 2355; 72 -216 134
-1562 3725 2299; 125 -163 114
-1784 4365 2640; 172 -200 55
-1673 4445 1380; 89 -57 45
-1163 3867 1174; 63 -17 2
-1696 4782 3854; 85 -202 -85
-1535 4593 500; 33 -6 -82
-1681 3816 1920; 212 -70 -139
-1858 4627 3000; 448 -203 -160
-1830 4326 1326; 179 -53 -211
-1830 3567 1923; 345 -10 -257
-1455 1005 594; 796 -98 -342
-963 4062 651; 748 -33 -10
-1493 4241 1870; 313 -159 -329
-2420 5272 2373; 374 -97 -345
-1632 5360 2457; 1019 -110 -293
-1299 4226 2587; 1146 -191 -364
-1624 6328 2771; -153 -209 -446
-1504 3841 2280; 42 -173 -709
-1439 4952 1667; 806 -141 -786
-945 4682 2768; 1002 -128 -775
-840 2332 1447; 681 -72 -967
-967 2886 1231; 402 -37 -941
-897 2989 1810; 227 -93 -881
-1229 1526 839; 99 -41 -939
-1229 2130 877; 226 -44 -888
-1189 2186 1111; 289 -89 -795
-1150 2096 1096; 258 -110 -758
-1297 2343 975; 167 -135 -673
-1354 2773 990; 131 -172 -588
-1283 2474 750; 128 -199 -538
-1257 2383 922; 81 -225 -480
-1224 2730 976; -33 -264 -395
-1244 2612 890; -208 -286 -339
-1262 2640 857; -391 -295 -290
-1313 2932 1017; -377 -319 -217
-1298 2869 938; -285 -326 -163
-1237 2751 809; -237 -322 -120
-1196 2906 966; -252 -334 -55
-1160 2922 1047; -307 -338 1
-1133 2842 1092; -351 -330 40
-1113 3007 1309; -383 -329 98
-1270 3834 1225; -432 -322 150
-1141 2856 1073; -416 -338 114
-1232 2436 7491; -111 -364 94
-648 5236 1118; 213 -135 170
-128 3605 2282; 521 -116 76
-718 3583 3119; 1221 -182 96
-466 2754 1626; 1424 13 168
-990 3288 787; 1102 128 186
-1488 2574 994; 1162 109 208
-565 1938 -138; 1007 147 288
-184 2850 -395; -651 147 418
-1410 1613 668; -1842 -32 424
-2652 4915 2104; -2171 -42 615
-827 2964 1212; -1443 -50 492
-2427 7078 3635; -194 -21 435
-922 1707 3014; 1072 -165 268
-1468 3852 2097; -498 36 351
-1506 4085 2840; -1352 125 471
