200 -4117 620; 82 9 -120
237 -4173 573; 86 7 -121
228 -4155 569; 75 5 -115
237 -4180 540; 40 0 -110
246 -4164 478; -2 -5 -106
290 -4181 512; -8 -14 -98
338 -4077 504; 22 -20 -90
368 -4048 457; 68 -26 -87
379 -3969 393; 152 -33 -82
366 -3876 395; 247 -40 -76
366 -3875 427; 310 -51 -76
394 -3816 434; 287 -62 -75
372 -3846 455; 197 -74 -75
387 -3890 476; 78 -83 -74
389 -3949 539; -73 -93 -75
387 -3997 546; -172 -100 -74
390 -4044 529; -181 -103 -64
409 -4113 518; -137 -107 -61
491 -4106 595; -51 -110 -53
555 -4005 735; 34 -111 -42
528 -3977 594; 86 -106 -41
436 -3891 548; 230 -103 -33
393 -3793 664; 370 -106 -21
483 -3891 628; 307 -108 -25
532 -3862 614; 151 -108 -21
462 -3723 685; 1 -117 -11
442 -4109 643; -147 -123 -8
379 -4146 341; -347 -134 8
82 -4470 129; -330 -142 29
167 -4080 1077; 0 -152 36
525 -4341 906; 54 -168 53
620 -4357 442; 71 -166 88
626 -4260 661; 455 -174 111
469 -4257 617; 620 -187 110
339 -3779 495; 684 -185 131
267 -3528 637; 601 -210 141
312 -3586 676; 341 -230 121
429 -3352 620; -63 -237 118
-91 -3829 794; -304 -250 41
-286 -3987 758; 55 -245 18
-98 -3858 764; 327 -231 3
132 -3573 843; 469 -223 -6
90 -4054 993; 369 -221 -19
151 -4161 783; -16 -221 -29
133 -4367 807; -188 -217 -32
166 -4242 818; -278 -221 -28
185 -4326 707; -236 -208 -37
182 -4192 693; -71 -200 -31
184 -4061 721; 113 -198 -21
213 -4092 682; 243 -190 -29
186 -3946 705; 306 -188 -25
173 -3883 754; 301 -185 -24
184 -3923 704; 235 -181 -35
159 -3936 760; 147 -177 -40
168 -3948 839; 41 -175 -42
166 -4052 833; -49 -167 -54
93 -4082 847; -34 -154 -61
-1 -4035 852; 63 -145 -61
-26 -4065 802; 144 -133 -71
-14 -4020 771; 179 -121 -77
36 -3971 789; 153 -115 -81
51 -3995 735; 80 -110 -91
47 -3967 706; 18 -105 -97
112 -3926 720; 8 -103 -99
188 -3956 721; 26 -95 -103
224 -3940 716; 40 -91 -110
205 -3878 741; 83 -89 -113
215 -3847 731; 143 -83 -114
233 -3878 769; 170 -82 -120
261 -3888 732; 158 -80 -125
238 -3834 713; 133 -77 -124
233 -3866 763; 79 -77 -126
239 -3910 736; -9 -79 -132
241 -3900 711; -79 -78 -132
174 -3887 702; -100 -73 -135
165 -3985 710; -87 -75 -135
205 -4003 770; -76 -74 -129
326 -4091 807; -77 -73 -126
263 -4129 801; -52 -70 -123
301 -4049 778; 40 -65 -111
236 -4072 827; 148 -61 -102
265 -4093 824; 216 -59 -96
288 -4003 846; 255 -55 -84
256 -3939 854; 257 -52 -76
203 -3936 864; 212 -50 -74
217 -3878 826; 162 -45 -65
255 -3827 851; 119 -40 -58
256 -3869 845; 57 -36 -60
218 -3807 841; 3 -30 -59
247 -3826 863; 21 -25 -60
179 -3818 863; 113 -15 -60
212 -3840 823; 209 -8 -59
235 -3869 824; 277 -3 -60
394 -3930 885; 297 2 -65
349 -3924 874; 240 7 -68
293 -3812 873; 165 11 -77
314 -3797 908; 142 16 -82
233 -3776 850; 70 17 -92
202 -3733 821; 27 20 -105
185 -3726 792; 86 22 -115
320 -3895 797; 154 18 -126
448 -3997 848; 185 11 -140
524 -4046 867; 175 8 -151
449 -4039 832; 142 1 -159
321 -3983 849; 73 -9 -168
242 -3991 819; 5 -19 -176
286 -3971 829; -22 -25 -186
287 -3962 845; -11 -34 -197
387 -3957 813; -26 -43 -206
426 -4014 812; -85 -49 -213
424 -4058 790; -132 -59 -219
487 -4047 772; -137 -66 -220
489 -4108 764; -100 -75 -223
459 -4105 766; -30 -82 -217
476 -4125 753; 11 -89 -212
494 -4161 756; 26 -98 -209
454 -4179 800; 74 -106 -201
511 -4171 804; 126 -110 -188
584 -4201 884; 147 -115 -181
568 -4167 883; 117 -120 -177
472 -4106 848; 76 -121 -170
490 -4065 864; 58 -125 -168
527 -4041 859; 78 -126 -169
525 -3986 867; 127 -127 -165
572 -4026 863; 156 -128 -168
649 -4004 871; 143 -133 -175
593 -3986 848; 119 -134 -184
572 -3955 871; 123 -137 -192
555 -3898 865; 136 -137 -202
558 -3904 875; 164 -140 -216
631 -3892 919; 161 -142 -230
759 -3881 895; 75 -146 -246
779 -3884 861; -76 -149 -266
717 -3900 823; -203 -152 -286
697 -3867 831; -256 -157 -308
674 -3930 870; -213 -159 -333
704 -3932 851; -93 -156 -354
727 -3970 861; 39 -159 -377
769 -3981 884; 124 -159 -401
823 -3975 913; 123 -161 -424
874 -3987 935; 19 -166 -455
855 -3933 904; -124 -172 -485
744 -3910 911; -192 -173 -512
779 -3844 776; -164 -174 -547
806 -3870 803; -45 -173 -592
803 -3752 877; 157 -175 -627
874 -3717 861; 311 -174 -664
997 -3707 830; 376 -181 -711
1049 -3589 833; 332 -193 -747
1058 -3626 882; 189 -199 -787
980 -3719 628; -107 -215 -821
877 -3900 579; -253 -229 -844
979 -3901 614; 13 -227 -851
1198 -3986 845; 447 -234 -848
1288 -4132 1053; 767 -246 -835
1228 -4172 1029; 833 -247 -807
893 -4432 937; 821 -256 -771
652 -3887 1524; 1007 -260 -727
-13 -4293 1265; 1785 -239 -666
295 -4271 907; 2307 -211 -587
650 -4002 872; 1850 -230 -521
955 -3623 810; 1199 -252 -452
1235 -3241 585; 889 -232 -378
1639 -3483 1140; 1026 -227 -323
