-929 -744 -3881; 191 -231 -75
-943 -724 -3848; 117 -48 -71
-935 -722 -3880; 48 -44 -71
-909 -734 -3913; -25 -42 -70
-930 -731 -4004; -58 -38 -71
-956 -694 -4052; -28 -38 -68
-972 -692 -3990; 59 -40 -68
-959 -753 -3946; 124 -39 -70
-945 -749 -3904; 124 -40 -69
-938 -752 -3841; 78 -41 -69
-964 -770 -3887; 6 -40 -69
-972 -726 -3979; -45 -38 -68
-956 -705 -3960; -39 -40 -67
-983 -710 -4017; 14 -39 -68
-962 -779 -3940; 71 -38 -66
-944 -771 -3912; 105 -39 -63
-957 -777 -3913; 120 -37 -60
-967 -782 -3823; 131 -39 -58
-992 -751 -3841; 115 -38 -55
-982 -750 -3812; 98 -34 -50
-961 -789 -3769; 72 -37 -48
-976 -740 -3744; 34 -30 -44
-1005 -767 -3778; 20 -31 -41
-938 -756 -3708; -37 -35 -39
-946 -800 -3909; -107 -34 -36
-1068 -727 -3963; -144 -36 -33
-1134 -631 -4038; -123 -43 -32
-1148 -615 -4016; 8 -47 -33
-1146 -712 -4034; 217 -47 -33
-1233 -678 -3950; 468 -48 -31
-1218 -592 -3941; 593 -48 -37
-929 -751 -3769; 660 -44 -39
-884 -680 -3737; 513 -49 -41
-927 -763 -3917; 254 -52 -56
-853 -854 -3966; 167 -40 -56
-860 -679 -3901; 79 -47 -58
-861 -710 -4069; -294 -57 -78
-817 -670 -4236; -121 -51 -79
-788 -695 -4124; 57 -57 -82
-802 -711 -4164; 131 -65 -94
-848 -699 -4230; 202 -59 -98
-898 -795 -3993; 264 -66 -99
-1008 -748 -3987; 172 -72 -104
-820 -816 -4061; 122 -59 -110
-885 -1026 -3798; 157 -63 -109
-1105 -708 -3827; 55 -66 -103
-1030 -835 -4097; 162 -56 -102
-857 -778 -3957; 246 -67 -104
-788 -840 -4095; 262 -50 -100
-762 -958 -3910; 179 -61 -104
-777 -870 -3905; 50 -70 -100
-788 -818 -4034; 23 -52 -96
-917 -893 -3786; 90 -54 -97
-947 -800 -3700; 111 -51 -91
-913 -847 -3770; 73 -33 -88
-858 -865 -3693; 13 -26 -86
-866 -821 -3766; -41 -22 -77
-864 -884 -3902; -69 -5 -72
-839 -878 -3910; -81 1 -69
-851 -869 -3914; -61 1 -61
-854 -856 -4032; 23 8 -54
-876 -853 -3958; 132 11 -48
-862 -858 -3857; 177 6 -41
-936 -837 -3935; 146 12 -38
-938 -788 -3953; 94 10 -34
-934 -820 -3892; 90 2 -32
-870 -833 -3978; 98 1 -31
-753 -837 -3963; 80 -3 -29
-727 -764 -3914; 56 -16 -29
-811 -785 -3880; 29 -19 -30
-852 -828 -3886; 7 -28 -31
-842 -756 -3921; -4 -43 -31
-857 -749 -4050; 1 -51 -32
-801 -826 -3989; 44 -64 -34
-821 -853 -3933; 81 -83 -30
-816 -785 -4001; 97 -94 -25
-855 -778 -4036; 98 -109 -24
-766 -973 -3969; 94 -124 -19
-704 -950 -4066; 123 -135 -7
-839 -1007 -3913; 195 -150 5
-768 -1047 -3880; 239 -163 16
-790 -1065 -3928; 231 -170 36
-904 -1022 -3921; 223 -179 51
-835 -958 -3898; 253 -187 64
-839 -934 -3897; 340 -191 78
-826 -918 -3666; 430 -199 90
-687 -962 -3588; 430 -201 99
-646 -901 -3631; 285 -203 106
-610 -940 -3771; 110 -208 111
-636 -920 -3896; 18 -212 116
-746 -739 -3900; 15 -212 121
-949 -869 -3701; 18 -221 117
-856 -797 -3671; -36 -226 112
-839 -778 -3669; -130 -229 112
-757 -785 -3722; -197 -234 107
-872 -775 -3892; -189 -232 102
-943 -737 -3802; -64 -231 99
-1122 -782 -3639; 106 -239 94
-1121 -720 -3589; 234 -239 91
-999 -646 -3606; 278 -232 88
-974 -636 -3552; 246 -234 83
-1142 -695 -3605; 133 -235 75
-1209 -800 -3679; -43 -233 65
-1168 -845 -3817; -196 -234 62
-1375 -918 -3967; -189 -237 62
-1420 -957 -4011; -15 -232 61
-1374 -960 -3971; 192 -231 64
-1257 -960 -3750; 414 -233 69
-1227 -890 -3679; 496 -227 74
-1099 -790 -3710; 393 -220 75
-1280 -767 -3706; 220 -214 73
-1356 -750 -3901; 57 -209 65
-1322 -717 -4045; -42 -208 57
-1369 -719 -4051; -20 -208 50
-1327 -804 -4053; 58 -209 35
-1142 -820 -4069; 111 -212 25
-1064 -935 -4029; 142 -218 16
-1179 -943 -4143; 157 -214 9
-1270 -979 -4072; 181 -211 5
-1276 -1017 -3890; 220 -214 -3
-1306 -1004 -3727; 234 -208 -7
-1269 -999 -3628; 135 -196 -10
-1168 -958 -3794; -53 -185 -15
-1192 -1045 -3806; -177 -171 -21
-1032 -1126 -3736; -173 -155 -24
-1102 -1082 -3890; -174 -134 -23
-1226 -885 -3840; -164 -118 -27
-1243 -848 -4030; -75 -95 -35
-985 -878 -3983; -36 -78 -46
-957 -895 -3950; -56 -68 -56
