-2378 -3065 -927; 186 47 -45
-2466 -3122 -1042; 183 57 -54
-2479 -3193 -1117; 157 60 -58
-2476 -3251 -1084; 158 60 -62
-2369 -3297 -1095; 162 66 -61
-2300 -3275 -1046; 115 62 -56
-2300 -3267 -1076; 74 63 -54
-2254 -3448 -1192; 200 74 -52
-2253 -3287 -920; 252 75 -47
-2249 -3340 -1088; 145 82 -50
-2626 -2781 -1238; 84 83 -41
-2569 -3140 -1111; -75 73 -48
-1966 -3338 -1313; -378 67 -60
-1927 -2669 -1793; -280 84 -45
-2387 -3066 -505; 139 64 -66
-2576 -3208 -1085; 423 90 -66
-2270 -3170 -1340; 550 118 -57
-2101 -3045 -932; 557 95 -73
-2141 -2701 -1262; 562 118 -61
-2285 -3029 -1003; 392 117 -67
-2339 -3202 -1042; -61 90 -83
-2103 -3115 -1180; -756 80 -70
-2070 -3131 -1137; -718 72 -69
-2108 -3116 -1316; -574 83 -56
-2120 -3479 -1206; -392 78 -55
-2154 -3316 -1423; -173 78 -41
-2272 -3339 -1833; 156 84 -22
-2353 -3056 -1615; 437 68 -12
-2504 -2966 -1907; 548 47 -3
-2420 -2845 -1718; 481 19 5
-2385 -2770 -1808; 261 -22 2
-2308 -2786 -1759; 106 -46 -1
-2335 -2754 -1238; 56 -78 -3
-2297 -2947 -1088; 69 -98 -8
-2195 -2926 -1069; 71 -107 -6
-2144 -2957 -1027; 75 -116 -2
-2186 -3056 -1133; 85 -121 -5
-2241 -2996 -1168; 92 -129 1
-2242 -3024 -1185; 47 -137 6
-2236 -3036 -1176; -20 -146 7
-2221 -3016 -1102; -25 -156 15
-2239 -2988 -1112; -27 -162 25
-2266 -3026 -1140; -54 -165 29
-2269 -2992 -1080; -84 -172 36
-2319 -2836 -1085; -178 -175 43
-2530 -2944 -1264; -409 -184 45
-2602 -3045 -1296; -472 -188 50
-2535 -3038 -1294; -425 -185 60
-2415 -3108 -1121; -406 -190 68
-2348 -3101 -1112; -409 -188 74
-2430 -3061 -1197; -380 -181 86
-2539 -3073 -1325; -317 -176 94
-2472 -3103 -1135; -196 -170 101
-2387 -3030 -1261; -79 -157 112
-2242 -3014 -1344; -86 -154 118
-2245 -3026 -1198; -6 -152 119
-2416 -2872 -1437; 59 -134 125
-2535 -2820 -1296; 50 -135 119
-2523 -2694 -1253; -30 -139 113
-2413 -2616 -1363; -181 -130 104
-2390 -2748 -1235; -324 -135 84
-2443 -2662 -1360; -413 -137 71
-2430 -2687 -1426; -387 -127 59
-2430 -2759 -1321; -311 -123 38
-2410 -2634 -1324; -264 -119 26
-2388 -2655 -1308; -236 -111 13
-2420 -2698 -1282; -247 -105 -6
-2443 -2673 -1314; -279 -99 -20
-2472 -2666 -1364; -288 -94 -35
-2459 -2659 -1393; -285 -88 -50
-2438 -2610 -1463; -327 -82 -65
-2522 -2696 -1467; -381 -80 -81
-2554 -2691 -1481; -389 -79 -97
-2498 -2716 -1481; -337 -75 -110
-2415 -2721 -1428; -282 -73 -122
-2341 -2670 -1422; -272 -72 -133
-2363 -2723 -1476; -293 -70 -145
-2387 -2700 -1520; -336 -74 -156
-2431 -2804 -1546; -353 -77 -164
-2454 -2828 -1539; -332 -79 -168
-2452 -2884 -1519; -322 -82 -172
-2467 -2970 -1585; -315 -83 -173
-2507 -2941 -1592; -273 -87 -170
-2462 -2960 -1558; -255 -92 -164
-2397 -2950 -1584; -282 -98 -159
-2374 -2936 -1566; -311 -104 -154
-2403 -2985 -1547; -321 -108 -149
-2429 -3018 -1544; -301 -111 -142
-2444 -3040 -1561; -263 -113 -131
-2407 -3038 -1557; -233 -117 -124
-2401 -3022 -1564; -198 -117 -114
-2487 -2991 -1624; -138 -117 -104
-2551 -2948 -1666; -65 -120 -95
-2486 -2940 -1644; -13 -120 -86
-2382 -2892 -1654; -3 -123 -79
-2387 -2879 -1625; -14 -126 -74
-2370 -2854 -1608; -36 -132 -66
-2383 -2804 -1594; -73 -131 -61
-2387 -2796 -1571; -91 -133 -59
-2423 -2763 -1612; -78 -131 -58
-2434 -2722 -1593; -49 -130 -54
-2395 -2740 -1557; -25 -126 -55
-2378 -2736 -1621; -7 -121 -53
-2440 -2729 -1609; -7 -119 -52
-2465 -2747 -1631; -27 -116 -55
-2459 -2732 -1657; -58 -112 -55
-2432 -2761 -1655; -80 -109 -56
-2412 -2756 -1631; -84 -105 -58
-2443 -2732 -1652; -70 -100 -56
-2444 -2732 -1624; -47 -96 -56
-2390 -2737 -1632; -36 -90 -56
-2384 -2724 -1656; -49 -86 -56
-2407 -2735 -1659; -53 -78 -56
-2428 -2755 -1653; -34 -73 -53
-2383 -2738 -1644; -13 -67 -51
-2358 -2755 -1635; -12 -60 -51
-2352 -2732 -1643; -22 -55 -46
-2363 -2739 -1651; -35 -49 -41
-2370 -2756 -1662; -44 -45 -36
-2373 -2792 -1638; -44 -43 -30
-2378 -2813 -1625; -48 -39 -25
-2375 -2842 -1669; -59 -38 -17
-2415 -2858 -1685; -61 -38 -7
-2402 -2871 -1655; -50 -39 3
-2412 -2870 -1682; -47 -40 13
-2432 -2883 -1691; -76 -46 23
-2457 -2895 -1703; -129 -54 32
-2486 -2956 -1702; -171 -64 41
-2461 -2956 -1720; -174 -74 50
-2467 -3024 -1736; -166 -86 59
-2468 -3015 -1784; -225 -105 65
-2516 -3023 -1845; -373 -129 70
-2631 -3054 -1934; -550 -158 69
-2621 -3151 -1988; -704 -197 61
-2495 -3181 -2079; -805 -235 50
-2402 -3330 -2205; -767 -273 39
-2337 -3503 -2237; -574 -314 17
