-1308 -3472 -1381; -354 -105 -28
-1333 -3544 -1365; -354 -104 -47
-1317 -3541 -1386; -298 -104 -61
-1229 -3534 -1348; -266 -110 -76
-1144 -3609 -1404; -253 -112 -94
-1108 -3599 -1489; -254 -106 -107
-1189 -3560 -1496; -261 -107 -116
-1198 -3602 -1388; -267 -110 -129
-1244 -3580 -1406; -301 -112 -139
-1325 -3518 -1445; -427 -106 -144
-1243 -3578 -1487; -506 -99 -155
-1153 -3673 -1394; -456 -98 -168
-1131 -3637 -1442; -326 -99 -169
-1163 -3587 -1604; -191 -95 -169
-1232 -3642 -1636; -175 -94 -176
-1241 -3598 -1611; -356 -103 -184
-1138 -3503 -1613; -579 -113 -187
-1059 -3515 -1815; -658 -118 -193
-964 -3571 -2057; -653 -121 -196
-996 -3564 -1912; -672 -132 -200
-1140 -3528 -1793; -689 -140 -208
-1270 -3426 -1749; -612 -147 -213
-1268 -3375 -1819; -430 -146 -213
-1239 -3407 -1951; -230 -142 -219
-1181 -3543 -1907; -112 -146 -229
-1107 -3559 -1829; -98 -148 -235
-1094 -3571 -1681; -90 -148 -236
-1068 -3531 -1680; -1 -146 -238
-1102 -3509 -1674; 92 -136 -238
-1136 -3515 -1627; 47 -125 -238
-1160 -3570 -1625; -149 -117 -244
-1032 -3553 -1702; -116 -71 -243
-1019 -3577 -1723; 10 -59 -244
-1004 -3574 -1687; 38 -48 -241
-957 -3650 -1687; -15 -36 -236
-914 -3703 -1659; -82 -26 -235
-890 -3673 -1749; -114 -14 -227
-897 -3591 -1803; -112 -4 -215
-899 -3573 -1812; -90 2 -210
-865 -3561 -1805; -56 6 -203
-819 -3537 -1813; -44 12 -192
-798 -3619 -1829; -74 14 -186
-832 -3752 -1737; -135 12 -181
-875 -3675 -1859; -223 15 -171
-910 -3528 -1943; -207 24 -154
-910 -3515 -1809; 31 23 -140
-870 -3696 -1739; 228 18 -138
-797 -3700 -1791; 238 29 -127
-817 -3516 -1837; 180 34 -104
-853 -3498 -1803; 71 29 -95
-851 -3545 -1902; -84 26 -89
-890 -3678 -1625; -211 25 -70
-692 -3515 -2145; -431 18 -59
-701 -3579 -2169; -434 24 -48
-899 -3598 -1966; -9 18 -26
-951 -3593 -1899; 154 3 -22
-894 -3611 -1969; 144 2 -12
-828 -3520 -1898; 180 4 11
-855 -3522 -1895; 211 2 17
-912 -3574 -1752; 252 -2 27
-896 -3523 -1677; 199 -1 46
-862 -3618 -1667; 34 4 55
-885 -3635 -1748; -106 3 65
-978 -3492 -1843; -150 4 82
-1011 -3392 -2055; -121 7 96
-945 -3414 -2098; -37 5 99
-931 -3431 -1977; 68 -8 108
-940 -3459 -1920; 81 -13 112
-960 -3483 -1918; 79 -13 118
-1033 -3371 -1842; 117 -19 129
-1046 -3369 -1854; 123 -25 133
-1108 -3452 -2070; 123 -21 132
-1344 -3203 -2264; 300 -14 134
-1319 -3285 -1820; 841 -20 136
-1122 -3423 -1352; 1198 -31 130
-917 -3319 -1492; 746 -29 120
-847 -3266 -1758; 297 -13 116
-855 -3391 -1859; 130 -10 104
-837 -3424 -1786; 180 -28 89
-894 -3309 -1774; 226 -40 84
-907 -3318 -1920; 173 -40 71
-924 -3473 -1906; 120 -52 48
-877 -3436 -1844; 86 -73 39
-858 -3418 -1773; 9 -82 31
-915 -3478 -1756; -129 -85 16
-976 -3479 -1653; -274 -97 4
-1026 -3403 -1692; -388 -105 -1
-1051 -3481 -1820; -456 -99 -11
-1167 -3452 -1932; -510 -100 -20
-1317 -3334 -2041; -471 -106 -26
-1278 -3344 -2100; -264 -105 -36
-1211 -3438 -2018; 25 -99 -47
-1109 -3377 -1794; 254 -100 -50
-1018 -3506 -1536; 421 -99 -51
-1157 -3966 -1705; 397 -89 -52
-1145 -3759 -1662; 10 -68 -57
-1071 -3491 -1740; -177 -57 -37
-1005 -3589 -1629; -213 -56 -30
-891 -3789 -1911; -288 -39 -46
-1011 -3395 -1980; 1 -30 -9
-1011 -3596 -1985; 167 -23 -25
-1002 -3553 -1942; 273 -21 -27
-957 -3378 -1737; 307 -24 -8
-967 -3516 -1745; 254 -19 -17
-999 -3590 -1755; 146 -10 -25
-1035 -3421 -1622; 13 -9 -7
-987 -3474 -1734; -113 -4 -7
-983 -3633 -1935; -141 4 -22
-1025 -3432 -1946; -28 4 -10
-1073 -3333 -1841; 127 0 1
