-724 -3261 -2287; 39 -52 -93
-716 -3242 -2263; 89 -51 -94
-690 -3282 -2231; 66 -53 -95
-677 -3279 -2282; -8 -54 -96
-696 -3296 -2288; -41 -52 -94
-733 -3263 -2289; -18 -52 -92
-730 -3262 -2245; 14 -53 -90
-730 -3293 -2270; 22 -53 -89
-730 -3303 -2293; 14 -50 -86
-706 -3368 -2280; 30 -50 -83
-716 -3365 -2312; 71 -51 -78
-733 -3367 -2298; 130 -51 -71
-733 -3332 -2226; 167 -51 -64
-753 -3348 -2260; 135 -50 -60
-742 -3344 -2243; 69 -53 -53
-758 -3361 -2270; 31 -51 -45
-760 -3388 -2293; 47 -49 -40
-786 -3371 -2257; 103 -48 -33
-771 -3303 -2207; 141 -47 -23
-748 -3310 -2187; 137 -46 -19
-726 -3303 -2234; 69 -44 -15
-718 -3276 -2268; 33 -42 -9
-740 -3288 -2300; 64 -40 -5
-759 -3271 -2330; 117 -39 -2
-737 -3267 -2338; 176 -41 1
-693 -3292 -2218; 240 -43 3
-762 -3222 -2204; 251 -42 6
-751 -3254 -2186; 216 -40 6
-744 -3245 -2159; 185 -37 8
-802 -3272 -2088; 144 -33 8
-971 -3236 -2223; 92 -27 6
-1122 -3170 -2261; 175 -12 3
-1022 -3348 -2058; 460 2 1
-1039 -3306 -1902; 642 11 0
-576 -3435 -1936; 491 20 -8
-533 -3183 -2243; 161 25 -7
-632 -3246 -2210; 259 26 -33
-647 -3090 -2087; 326 12 -27
-628 -3248 -2084; 317 14 -43
-661 -3399 -2128; 195 12 -59
-579 -3273 -2182; 88 -4 -56
-575 -3321 -2161; 62 -21 -55
-508 -3403 -2297; -14 -33 -62
-487 -3416 -2428; -147 -57 -61
-486 -3430 -2513; -237 -91 -59
-443 -3484 -2567; -227 -126 -60
-516 -3417 -2575; -165 -157 -54
-607 -3424 -2438; -62 -185 -50
-776 -3451 -2238; -7 -217 -47
-963 -3476 -2154; 3 -238 -43
-1110 -3555 -2084; 96 -239 -39
-1097 -3502 -2010; 137 -240 -33
-1023 -3456 -1965; 133 -240 -25
-930 -3308 -2039; 178 -228 -19
-845 -3417 -1775; 211 -211 -13
-903 -3668 -2026; 134 -196 -9
-899 -3425 -1862; -28 -179 -10
-828 -3366 -2085; -34 -158 -2
-768 -3391 -1817; 113 -151 10
-692 -3325 -1996; -20 -133 10
-688 -3466 -2013; -155 -111 3
-770 -3321 -2015; -218 -102 14
-821 -3255 -2107; -196 -87 20
-805 -3394 -2123; -104 -73 12
-750 -3388 -2130; 12 -61 13
-766 -3304 -2054; 107 -51 22
-718 -3370 -2068; 139 -39 19
-730 -3384 -2069; 151 -27 15
-832 -3232 -2086; 134 -21 22
-801 -3211 -2154; 66 -14 20
-740 -3321 -2176; -5 -6 8
-773 -3251 -2237; -43 -4 4
-742 -3195 -2224; -51 -3 4
-744 -3260 -2305; -46 -3 -4
-700 -3313 -2219; -53 -7 -13
-702 -3288 -2223; -74 -11 -16
-765 -3283 -2327; -60 -10 -21
-863 -3233 -2386; 16 -14 -27
-769 -3302 -2307; 83 -23 -29
-750 -3350 -2317; 93 -30 -37
-784 -3353 -2350; 54 -35 -41
-849 -3168 -2333; 3 -41 -39
-965 -3087 -2225; -79 -50 -44
-823 -3435 -2225; -232 -57 -53
-818 -3172 -2274; -350 -65 -54
-730 -3303 -2314; -361 -66 -56
-839 -3368 -2341; -244 -69 -64
-888 -3308 -2331; -53 -74 -65
-803 -3234 -2263; 86 -79 -61
-611 -3422 -2234; 109 -79 -66
-905 -3311 -2191; 57 -81 -70
-942 -3117 -2165; -20 -84 -65
-888 -3146 -2219; -76 -84 -63
-811 -3368 -2234; -102 -82 -69
-951 -3132 -2258; -75 -85 -66
-812 -3235 -2177; -36 -87 -58
-673 -3361 -2208; -33 -82 -59
-690 -3300 -2177; -41 -82 -55
-875 -3175 -2129; -58 -84 -45
-781 -3373 -2235; -65 -84 -45
-868 -3296 -2341; -38 -83 -44
-826 -3211 -2305; -2 -85 -36
-825 -3392 -2286; 20 -89 -33
-796 -3317 -2214; -4 -90 -31
-841 -3212 -2165; -129 -93 -23
-658 -3322 -2268; -252 -92 -21
-834 -3482 -2326; -267 -90 -23
-881 -3233 -2447; -194 -89 -17
-848 -3253 -2339; -123 -92 -14
-833 -3352 -2327; -94 -91 -14
-774 -3334 -2332; -84 -92 -10
-857 -3141 -2321; -50 -94 -6
-818 -3329 -2385; -20 -91 -5
-902 -3222 -2358; -24 -94 -8
-875 -3071 -2408; -72 -94 -6
-881 -3169 -2393; -139 -98 -8
-925 -3097 -2418; -169 -99 -15
-844 -3102 -2419; -191 -100 -15
-713 -3275 -2436; -185 -100 -18
-886 -3150 -2455; -129 -105 -24
-856 -3003 -2437; -78 -106 -27
-829 -3122 -2420; -85 -106 -29
-926 -3002 -2478; -109 -108 -35
-842 -3137 -2446; -103 -111 -42
-913 -2997 -2475; -115 -114 -44
-815 -3134 -2548; -125 -113 -45
-832 -3046 -2468; -87 -116 -50
-824 -3011 -2408; -92 -123 -49
-915 -3174 -2445; -126 -122 -50
-835 -3195 -2439; -132 -119 -51
-977 -2972 -2467; -97 -121 -47
-854 -3221 -2419; -56 -122 -42
-903 -3098 -2478; -59 -118 -38
-893 -3055 -2481; -76 -117 -35
-850 -3135 -2507; -85 -117 -25
-1008 -2982 -2507; -101 -118 -19
-849 -3069 -2509; -130 -116 -15
-834 -2999 -2502; -152 -115 -5
-919 -3074 -2490; -140 -114 3
-884 -3018 -2532; -96 -107 8
-873 -3119 -2489; -18 -103 17
-920 -3093 -2524; 45 -102 31
-839 -3175 -2465; 47 -98 41
-971 -3005 -2506; 3 -92 51
-941 -3075 -2539; -31 -87 65
-949 -2976 -2479; -49 -84 76
-1016 -2958 -2488; -119 -77 94
-956 -2916 -2500; -160 -75 100
-967 -2907 -2534; -163 -73 108
-901 -3103 -2606; -123 -71 115
-977 -2984 -2665; -88 -74 124
-855 -2850 -2668; -86 -82 134
-842 -3019 -2620; -85 -90 143
-1003 -2794 -2645; -113 -102 151
-963 -2923 -2593; -187 -118 159
-1005 -2886 -2587; -258 -135 164
-965 -3000 -2602; -321 -158 176
-977 -2914 -2699; -376 -181 189
-901 -3034 -2768; -430 -210 199
-1019 -3135 -2925; -495 -243 209
-991 -3237 -2937; -493 -288 223
-1104 -3338 -3024; -443 -343 238
