-959 -2876 -2660; 120 -26 -41
-949 -2887 -2668; 132 -27 -41
-951 -2886 -2721; 135 -27 -44
-907 -2866 -2756; 126 -29 -46
-893 -2882 -2751; 124 -33 -44
-920 -2876 -2766; 137 -40 -45
-952 -2886 -2767; 161 -44 -47
-954 -2853 -2804; 172 -50 -46
-990 -2814 -2805; 165 -57 -43
-961 -2820 -2803; 136 -65 -44
-953 -2812 -2796; 101 -72 -47
-954 -2799 -2746; 93 -75 -47
-955 -2813 -2689; 99 -78 -42
-926 -2818 -2675; 84 -79 -40
-907 -2825 -2653; 69 -80 -44
-905 -2845 -2677; 77 -79 -41
-917 -2868 -2682; 94 -76 -38
-909 -2880 -2671; 92 -77 -38
-918 -2886 -2689; 78 -78 -38
-910 -2891 -2697; 72 -80 -33
-908 -2869 -2684; 56 -82 -30
-879 -2929 -2619; 47 -86 -30
-883 -2924 -2737; 33 -93 -28
-889 -2960 -2713; 38 -94 -27
-918 -2947 -2717; 61 -98 -23
-966 -2956 -2715; 57 -104 -18
-982 -2931 -2710; 58 -109 -18
-973 -2936 -2691; 64 -110 -17
-974 -2906 -2671; 62 -113 -15
-974 -2914 -2653; 52 -113 -17
-971 -2891 -2657; 31 -110 -18
-943 -2917 -2652; 10 -110 -17
-974 -2940 -2663; -6 -110 -19
-942 -2949 -2666; -10 -108 -23
-886 -2950 -2700; -4 -102 -27
-1157 -2817 -2860; 38 -80 -39
-957 -3259 -2114; 101 -66 -48
-938 -2860 -2667; 35 -56 -47
-937 -2925 -2709; -79 -75 -46
-868 -2949 -2672; -96 -49 -56
-796 -3004 -2610; -41 -23 -58
-784 -2946 -2515; -47 -28 -53
-860 -2962 -2449; -55 -38 -53
-889 -2870 -2644; -45 -26 -52
-920 -2859 -2714; -75 -27 -43
-920 -2854 -2681; -133 -44 -39
-892 -2850 -2703; -148 -50 -43
-941 -2832 -2775; -134 -56 -36
-954 -2819 -2779; -87 -71 -25
-920 -2830 -2782; -5 -79 -21
-894 -2856 -2734; 64 -83 -17
-909 -2831 -2674; 102 -86 -10
-995 -2853 -2610; 143 -87 -4
-1048 -2836 -2597; 221 -79 -6
-1107 -2791 -2659; 329 -66 -8
-1122 -2754 -2738; 394 -56 -1
-1020 -2649 -2693; 414 -43 -2
-1005 -2765 -2453; 392 -31 -4
-1009 -2889 -2673; 244 -26 -6
-956 -2930 -2509; 122 -8 -18
-845 -2968 -2668; 103 5 -3
-952 -3023 -2730; 14 10 9
-898 -2991 -2715; 18 19 2
-914 -2913 -2783; 49 28 2
-949 -2897 -2739; 84 25 15
-937 -2933 -2748; 101 18 16
-857 -3024 -2715; 121 19 6
-911 -2919 -2730; 141 14 7
-951 -2910 -2694; 155 2 12
-900 -2939 -2721; 167 -7 5
-873 -2993 -2712; 176 -13 -5
-937 -2907 -2705; 161 -26 -5
-966 -2881 -2684; 116 -37 -9
-951 -2921 -2652; 62 -44 -17
-915 -2890 -2661; 22 -53 -21
-1015 -2877 -2646; 10 -60 -27
-1079 -2865 -2625; 11 -67 -33
-1057 -2885 -2662; 0 -74 -38
-931 -2904 -2707; -25 -81 -40
-918 -2969 -2748; -30 -87 -47
-929 -2950 -2735; -6 -90 -52
-986 -2945 -2719; 33 -96 -56
-944 -3007 -2647; 48 -104 -56
-881 -3038 -2601; 45 -103 -59
-867 -3043 -2574; 13 -104 -64
-948 -2954 -2606; -65 -106 -64
-882 -2973 -2688; -115 -108 -63
-800 -3023 -2627; -61 -100 -67
-944 -2928 -2722; 50 -90 -70
-918 -2816 -2800; 144 -87 -70
-1013 -2962 -2473; 322 -77 -73
-1074 -2994 -2430; 466 -54 -78
-1048 -2970 -2718; 496 -34 -92
-989 -2989 -2635; 363 -30 -92
-948 -2962 -2556; 259 -20 -100
-788 -2930 -2440; 182 1 -109
-873 -2816 -2364; 156 13 -112
-836 -2846 -2385; 162 29 -117
-758 -2905 -2412; 222 54 -126
-835 -2961 -2550; 230 76 -124
-745 -2951 -2693; 112 89 -122
-813 -2967 -2612; 60 95 -123
-698 -2996 -2691; 95 100 -113
-599 -2924 -2594; 105 107 -102
-832 -2773 -2518; 130 110 -100
-938 -2678 -2276; 159 111 -91
-888 -2676 -1980; 212 108 -79
-939 -2677 -1852; 272 105 -75
-992 -2731 -1983; 291 96 -72
-882 -3052 -2235; 280 89 -69
-868 -3531 -3153; 192 74 -64
-820 -4270 -4075; -105 41 -63
-683 -3172 -3510; -491 -14 -69
-1017 -2882 -3084; -558 -92 -21
-974 -2812 -2839; -415 -133 6
-675 -2876 -2784; -210 -135 -55
-636 -2778 -2710; -117 -176 -65
-750 -2844 -2524; -20 -207 -28
-945 -3058 -2438; 119 -197 -29
-659 -3024 -2440; 125 -215 -47
-661 -2949 -2334; 19 -256 -38
-617 -2958 -2388; -44 -258 -25
-686 -2976 -2349; -107 -248 -28
-945 -2926 -2240; -203 -260 -27
-1173 -2924 -2179; -243 -274 -26
-1037 -2874 -2379; -215 -262 -30
-1086 -2887 -2529; -117 -255 -29
-1299 -2800 -2688; 36 -262 -19
-1149 -2937 -2755; 224 -265 -20
