-1314 -2696 -2733; 7 -143 -17
-1309 -2753 -2707; 31 -142 -22
-1270 -2695 -2637; 56 -145 -31
-1228 -2737 -2605; 45 -143 -34
-1271 -2725 -2620; 20 -142 -38
-1340 -2748 -2643; -4 -143 -40
-1320 -2758 -2679; -4 -142 -43
-1351 -2748 -2652; 5 -142 -43
-1304 -2745 -2619; 7 -142 -42
-1228 -2762 -2652; -26 -143 -47
-1286 -2799 -2665; -64 -143 -48
-1403 -2733 -2673; -58 -143 -46
-1319 -2804 -2658; -35 -142 -48
-1333 -2786 -2691; -8 -141 -50
-1300 -2726 -2637; 12 -141 -43
-1304 -2756 -2688; 1 -139 -45
-1320 -2807 -2711; -11 -134 -48
-1269 -2806 -2701; -10 -135 -40
-1299 -2786 -2706; -18 -133 -40
-1305 -2721 -2692; -29 -134 -41
-1375 -2703 -2742; 29 -126 -26
-1217 -2783 -2725; 84 -123 -27
-1239 -2793 -2702; 121 -122 -24
-1202 -2609 -2807; 110 -128 -19
-1250 -2673 -2728; 50 -136 -20
-1246 -2774 -2744; -20 -141 -18
-1193 -2596 -2876; -66 -149 -16
-1275 -2742 -2826; -55 -159 -13
-1239 -2744 -2866; -24 -169 -5
-1319 -2693 -2801; -26 -178 3
-1164 -2863 -2597; -95 -187 11
-1173 -2843 -2533; -232 -196 24
-1307 -2752 -2661; -327 -197 38
-1495 -2729 -2698; -286 -194 52
-1442 -2583 -2680; -218 -201 68
-1278 -2611 -2633; -261 -202 80
-1460 -2463 -2636; -404 -197 87
-1327 -2463 -2522; -525 -202 97
-1400 -2548 -2539; -583 -200 104
-1384 -2386 -2547; -625 -189 107
-1258 -2456 -2533; -637 -186 113
-1260 -2328 -2716; -696 -183 126
-1300 -2250 -2918; -684 -177 121
-1308 -2113 -2807; -571 -176 124
-1346 -2237 -2932; -554 -177 121
-1409 -2250 -3053; -547 -183 114
-1467 -2158 -3052; -497 -187 116
-1344 -2289 -2997; -527 -194 107
-1324 -2338 -2982; -657 -212 99
-1592 -2468 -3188; -691 -209 97
-1580 -2426 -3249; -531 -207 90
-1661 -2269 -3076; -301 -222 89
-1699 -2332 -3222; -167 -218 87
-1622 -2395 -3120; -97 -210 78
-1522 -2192 -3107; -123 -216 71
-1591 -2091 -3130; -252 -218 65
-1592 -2055 -3122; -397 -213 57
-1727 -2113 -3083; -540 -218 44
-1602 -2137 -3067; -649 -216 34
-1510 -2085 -3121; -671 -210 26
-1378 -2259 -3027; -564 -203 16
-1553 -2159 -3073; -401 -187 14
-1556 -2204 -3029; -272 -170 15
-1483 -2092 -3112; -225 -161 7
-1628 -2028 -3042; -202 -156 7
-1740 -2056 -3347; -148 -145 7
-1589 -2078 -3350; -147 -142 2
-1617 -2111 -3311; -135 -145 -4
-1510 -2174 -3301; -130 -150 -5
-1324 -2217 -3264; -69 -149 -5
-1441 -2187 -3234; 10 -142 -13
-1752 -2050 -3176; 77 -137 -17
-1756 -1937 -3117; 118 -129 -21
-1657 -2050 -3050; 83 -111 -37
-1737 -1987 -3036; -102 -100 -48
-1629 -2011 -3072; -292 -79 -65
-1468 -2052 -3016; -341 -48 -85
-1352 -2031 -3033; -286 -27 -94
-1441 -1958 -3305; -320 3 -110
-1440 -1831 -3261; -255 43 -141
-1650 -1311 -3054; -73 72 -155
-1903 -761 -2559; 179 101 -170
-2083 -249 -2390; 762 145 -203
-2418 -1011 -2641; 2101 181 -243
-2303 -907 -1772; 3813 209 -263
-1783 -977 -1179; 4377 234 -289
-1597 -569 -1483; 3752 201 -316
-1558 -839 -2195; 2316 162 -316
-1436 -1225 -2917; 153 107 -327
-1288 -2723 -3168; -2205 3 -338
-1101 -3407 -2372; -4142 -84 -299
-1531 -3164 -2594; -5836 -148 -220
-2002 -4484 -5164; -6800 -197 -162
-2717 -2703 -7359; -6486 -280 -69
-2603 -636 -8870; -4351 -391 19
-1035 -1220 -8746; -1598 -524 24
242 -2512 -6987; -387 -731 15
-52 -2237 -3503; 68 -894 73
-1863 -2115 -2608; 469 -913 150
-3034 -2508 -2194; 711 -891 177
-2201 -2735 -1525; 1441 -833 244
-1084 -2432 -1083; 1871 -745 322
-1339 -2041 -1643; 1676 -618 353
-1935 -1542 -2296; 1163 -483 380
-1781 -1412 -2685; 646 -363 385
-1852 -1424 -2871; 385 -256 338
-1925 -1262 -3064; 645 -153 302
-1744 -903 -2671; 954 -73 282
-1605 -1262 -2857; 938 -1 209
-1564 -1324 -2805; 744 41 154
-1672 -1598 -3048; 511 60 118
-1630 -2052 -3287; 302 72 66
-1793 -2068 -3377; 219 62 39
-1829 -1887 -3791; 292 56 27
-1660 -1797 -3491; 472 29 -2
-1566 -1657 -3399; 555 -19 -21
-1725 -1533 -3400; 485 -47 -41
-1646 -1686 -3244; 424 -85 -75
-2032 -1646 -3326; 285 -128 -97
-1915 -2026 -3089; 245 -155 -115
-1718 -2204 -3150; 145 -180 -138
-1772 -2154 -3242; 24 -212 -140
-1843 -2047 -3038; 168 -223 -135
-1857 -2086 -3062; 297 -235 -151
-1832 -1878 -2919; 312 -257 -153
-1854 -1797 -2904; 346 -258 -152
-1923 -1845 -2998; 271 -257 -166
-1941 -1869 -2808; 211 -266 -170
-1909 -1888 -2894; 168 -258 -171
-1929 -1962 -2850; 48 -252 -170
-1982 -2146 -2694; -88 -253 -167
-2110 -2135 -2748; -159 -237 -163
-1955 -2083 -2637; -95 -221 -151
-1747 -2042 -2574; 14 -210 -134
-1963 -2072 -2726; 45 -186 -125
-2096 -2072 -2754; 21 -168 -112
-1926 -2107 -2722; 19 -162 -99
-1964 -2103 -2884; 80 -150 -87
-2039 -2057 -2766; 147 -147 -76
-1878 -2043 -2672; 199 -147 -68
-1951 -1928 -2731; 294 -139 -58
-1908 -1946 -2695; 390 -140 -52
-1853 -1888 -2787; 428 -148 -46
-1895 -1967 -2927; 412 -153 -36
-2016 -2030 -2980; 340 -166 -28
-1935 -2148 -2941; 272 -185 -19
-1883 -2171 -2949; 254 -200 0
-1981 -2142 -2900; 284 -213 17
-1993 -2101 -2941; 297 -230 31
-1862 -2059 -2962; 270 -244 51
-1824 -2083 -2968; 231 -260 65
-1947 -2076 -2965; 245 -276 76
-1928 -1997 -3017; 291 -289 93
-1943 -1999 -2959; 323 -306 104
-1951 -1999 -2941; 318 -319 111
-1993 -1990 -2932; 283 -324 123
-2015 -2073 -2851; 255 -330 129
-2092 -1909 -2851; 214 -334 135
-2104 -1887 -2835; 155 -334 137
-2027 -1888 -2790; 105 -332 130
-2062 -1806 -2821; 71 -325 131
-2187 -1808 -2888; 36 -320 130
-2046 -1919 -2882; -13 -317 123
-2176 -2006 -2920; -67 -313 125
-2222 -2104 -2932; -92 -308 127
-2105 -2266 -2883; -27 -305 131
-2238 -2168 -2981; 113 -307 151
-2213 -2238 -2973; 228 -307 163
-1996 -2190 -2970; 282 -317 178
-2052 -2097 -3041; 285 -328 200
-2104 -2042 -3038; 224 -337 214
-2054 -2010 -2935; 118 -356 222
-2106 -1946 -2862; 42 -372 237
-2194 -1907 -2829; 0 -379 247
-2297 -1942 -2709; -19 -391 251
-2362 -1974 -2763; 2 -393 265
-2538 -2052 -2820; 100 -390 275
-2528 -2148 -2904; 244 -397 282
-2486 -2154 -3083; 389 -404 302
