-1803 -2855 -2244; -77 -45 -45
-1804 -2892 -2285; -118 -55 -54
-1783 -2907 -2287; -192 -61 -65
-1787 -2940 -2307; -281 -68 -75
-1806 -2962 -2343; -342 -75 -85
-1833 -2981 -2297; -343 -80 -90
-1837 -3015 -2329; -321 -84 -93
-1838 -3000 -2343; -299 -88 -95
-1812 -2991 -2355; -259 -91 -95
-1790 -3004 -2334; -210 -93 -95
-1809 -2993 -2353; -168 -95 -95
-1795 -2968 -2386; -149 -99 -94
-1789 -2949 -2359; -119 -101 -93
-1768 -2985 -2359; -86 -102 -90
-1776 -2988 -2352; -71 -103 -88
-1743 -2951 -2337; -94 -104 -85
-1730 -2959 -2366; -162 -103 -86
-1756 -2936 -2375; -232 -104 -83
-1787 -2898 -2414; -269 -103 -80
-1827 -2906 -2441; -254 -99 -78
-1740 -2897 -2409; -57 -89 -69
-1727 -2894 -2419; 4 -85 -69
-1704 -2880 -2411; 53 -84 -64
-1723 -2840 -2410; 78 -80 -59
-1739 -2788 -2366; 79 -74 -59
-1709 -2718 -2326; 68 -72 -59
-1693 -2700 -2278; 62 -69 -57
-1656 -2662 -2270; 29 -65 -59
-1651 -2627 -2301; -25 -61 -61
-1632 -2587 -2287; -52 -56 -63
-1662 -2634 -2328; -49 -47 -68
-1686 -2652 -2322; -37 -46 -70
-1710 -2665 -2329; -24 -43 -71
-1674 -2704 -2347; 4 -38 -74
-1668 -2711 -2303; 28 -37 -70
-1669 -2729 -2323; 26 -35 -68
-1669 -2739 -2325; 7 -34 -67
-1688 -2728 -2336; -15 -35 -62
-1689 -2728 -2376; -29 -35 -59
-1717 -2734 -2367; -17 -36 -56
-1701 -2756 -2390; -7 -38 -50
-1721 -2775 -2390; 2 -42 -46
-1709 -2764 -2385; 9 -46 -38
-1714 -2726 -2411; 16 -50 -34
-1754 -2730 -2398; 33 -54 -28
-1755 -2736 -2406; 44 -57 -22
-1743 -2735 -2387; 46 -63 -17
-1745 -2744 -2381; 38 -67 -12
-1766 -2757 -2377; 29 -72 -6
-1771 -2759 -2386; 17 -78 -1
-1744 -2775 -2376; 4 -81 4
-1767 -2757 -2342; -10 -83 12
-1767 -2715 -2361; -36 -83 16
-1753 -2711 -2366; -44 -86 20
-1763 -2676 -2358; -30 -85 27
-1795 -2684 -2377; -34 -82 28
-1803 -2690 -2373; -37 -82 32
-1830 -2685 -2346; -25 -79 37
-1813 -2707 -2352; -38 -74 38
-1800 -2669 -2375; -69 -71 40
-1804 -2635 -2409; -95 -67 43
-1783 -2658 -2408; -102 -64 43
-1789 -2665 -2429; -107 -61 42
-1802 -2650 -2470; -93 -58 44
-1827 -2668 -2471; -47 -54 44
-1834 -2685 -2513; 24 -52 46
-1817 -2689 -2506; 88 -50 48
-1805 -2691 -2517; 121 -52 48
-1813 -2691 -2505; 129 -52 48
-1802 -2661 -2512; 127 -55 50
-1823 -2654 -2496; 117 -57 48
-1862 -2620 -2456; 98 -60 48
-1881 -2617 -2488; 74 -61 44
-1898 -2659 -2435; 103 -63 41
-1883 -2653 -2443; 129 -59 37
-1870 -2638 -2420; 135 -58 32
-1845 -2593 -2421; 142 -57 27
-1844 -2590 -2466; 161 -51 22
-1836 -2614 -2391; 176 -48 14
-1863 -2603 -2409; 164 -46 5
-1836 -2592 -2414; 138 -45 -4
-1835 -2619 -2369; 124 -44 -13
-1829 -2611 -2391; 106 -38 -21
-1848 -2606 -2406; 80 -35 -31
-1848 -2613 -2404; 72 -36 -38
-1882 -2619 -2405; 71 -33 -44
-1858 -2615 -2424; 74 -32 -55
-1833 -2629 -2416; 90 -31 -63
-1828 -2614 -2416; 90 -28 -70
-1802 -2611 -2398; 95 -29 -79
-1789 -2621 -2408; 96 -30 -85
-1804 -2626 -2417; 86 -29 -93
-1783 -2638 -2421; 68 -30 -101
-1806 -2619 -2383; 41 -30 -107
-1798 -2653 -2409; 13 -29 -114
-1821 -2664 -2373; 22 -31 -117
-1798 -2631 -2358; 46 -30 -122
-1758 -2675 -2364; 84 -23 -127
-1764 -2696 -2345; 114 -17 -129
-1776 -2760 -2358; 96 -13 -129
-1797 -2817 -2354; 74 -10 -130
-1808 -2763 -2352; 69 -1 -133
-1724 -2776 -2250; 131 10 -132
-1689 -2807 -2180; 206 19 -133
-1683 -2827 -2266; 215 35 -136
-1691 -2858 -2356; 182 49 -142
-1685 -2890 -2449; 150 58 -149
-1629 -2992 -2506; 159 66 -158
-1582 -2952 -2566; 193 76 -168
-1564 -2800 -2508; 219 85 -180
-1590 -2834 -2429; 227 98 -200
-1580 -2838 -2320; 171 104 -227
-1590 -2914 -2464; 64 119 -257
-1682 -2987 -2564; 4 139 -285
-1713 -2997 -2521; 13 153 -318
-1753 -3046 -2489; 31 170 -354
-1679 -2990 -2501; 42 189 -394
-1568 -2976 -2477; 95 211 -432
-1526 -2952 -2482; 179 233 -471
-1503 -2942 -2428; 216 256 -517
-1575 -2879 -2424; 185 276 -561
-1548 -2791 -2456; 91 294 -604
-1475 -2804 -2426; 5 313 -648
-1294 -2814 -2393; -64 329 -687
-1206 -2868 -2419; -166 347 -724
-1237 -2903 -2429; -272 364 -758
-1305 -2892 -2460; -305 382 -784
-1229 -2941 -2512; -294 397 -806
-1328 -3047 -2512; -304 407 -820
-1257 -3059 -2569; -220 417 -826
-1419 -3261 -2674; -214 418 -832
-885 -3234 -2497; -200 410 -830
-735 -3006 -2813; -132 409 -812
-955 -3063 -2771; -65 398 -803
-952 -3312 -2542; 197 368 -790
-813 -3240 -2727; 372 366 -757
-787 -3272 -2571; 375 340 -737
-844 -3172 -2244; 353 298 -711
-1134 -3255 -2471; 102 265 -645
-1111 -3270 -2476; -32 230 -613
-970 -3369 -2714; -64 217 -569
-739 -3352 -2682; -37 187 -535
-489 -2897 -2575; -25 153 -488
-469 -2758 -2542; 18 134 -445
-453 -2893 -2409; 64 106 -420
-591 -2835 -2520; -125 78 -386
-771 -2987 -2775; -442 54 -354
-882 -3365 -2820; -671 18 -331
-816 -3357 -2821; -707 -7 -286
-757 -3126 -2810; -575 -26 -231
-636 -3099 -2626; -339 -49 -196
-486 -3002 -2635; -109 -63 -155
-475 -3019 -2841; 1 -73 -112
-590 -3151 -2913; 5 -96 -86
-621 -2997 -2937; 11 -116 -47
-661 -2931 -2890; 78 -129 -10
-732 -3015 -2685; 140 -146 16
-728 -2921 -2540; 141 -161 47
-739 -2833 -2558; 192 -162 74
-805 -2844 -2605; 326 -161 90
-849 -2664 -2565; 497 -160 112
-875 -2551 -2506; 693 -152 125
-784 -2556 -2360; 914 -142 129
-653 -2499 -2182; 1051 -128 130
-667 -2422 -2053; 1041 -110 124
-857 -2425 -2004; 921 -88 112
-970 -2386 -1951; 773 -65 94
-945 -2470 -1967; 659 -37 74
-869 -2539 -1990; 602 -9 56
-766 -2645 -1983; 572 23 42
-721 -2833 -2006; 526 52 24
-802 -2961 -2093; 423 77 13
-907 -3015 -2226; 315 97 9
-879 -3082 -2273; 286 116 6
-746 -3148 -2277; 288 129 7
-701 -3134 -2319; 232 140 11
-750 -3221 -2356; 113 148 15
-881 -3164 -2500; -18 151 20
-916 -3109 -2474; -117 153 27
-666 -3108 -2533; -129 153 28
-528 -3082 -2528; -57 154 35
-672 -3105 -2621; -10 160 39
-813 -3191 -2596; 16 161 34
-835 -3107 -2630; 63 159 38
-779 -3186 -2583; 169 162 38
-730 -3216 -2597; 250 167 32
-741 -3191 -2708; 343 174 31
-774 -3230 -2614; 523 184 29
-742 -3260 -2405; 627 190 21
-748 -3189 -2426; 516 188 11
-706 -3206 -2619; 350 193 -7
-598 -3260 -2737; 287 201 -20
-457 -3261 -2629; 240 197 -36
-322 -3306 -2584; 148 195 -59
-304 -3162 -2594; 48 198 -78
-304 -3098 -2566; -41 197 -104
-340 -3013 -2613; -96 198 -136
-346 -2996 -2700; -78 203 -168
-228 -3020 -2622; 24 209 -204
-149 -3060 -2622; 106 218 -243
-162 -3126 -2601; 83 225 -283
-113 -3152 -2607; -42 229 -324
-33 -3134 -2702; -221 234 -366
43 -3164 -2711; -343 240 -408
-26 -3124 -2779; -384 251 -445
-63 -3179 -2778; -366 261 -482
-75 -3159 -2801; -319 273 -520
10 -3194 -2865; -282 282 -558
97 -3297 -2967; -261 296 -594
153 -3336 -2972; -267 302 -627
201 -3350 -2972; -297 308 -661
260 -3374 -2976; -381 317 -698
367 -3372 -2984; -472 322 -728
489 -3444 -3004; -536 325 -754
633 -3529 -3075; -565 332 -778
612 -3546 -3173; -562 340 -798
619 -3554 -3188; -495 347 -816
691 -3544 -3132; -375 350 -833
763 -3468 -3034; -245 354 -845
773 -3369 -2970; -138 358 -858
743 -3286 -2905; -67 365 -880
749 -3202 -2790; -13 372 -899
827 -3121 -2686; -11 379 -916
897 -3127 -2621; -83 391 -939
835 -3049 -2650; -228 404 -962
846 -3007 -2643; -358 416 -982
837 -3038 -2706; -407 431 -1000
841 -3054 -2751; -382 449 -1012
828 -3111 -2766; -326 465 -1022
894 -3129 -2764; -268 476 -1031
925 -3130 -2776; -200 486 -1033
884 -3133 -2772; -156 498 -1033
842 -3113 -2752; -169 503 -1034
861 -3090 -2737; -229 510 -1032
860 -3076 -2743; -284 516 -1028
894 -3115 -2784; -321 527 -1022
932 -3134 -2807; -344 538 -1015
931 -3126 -2837; -345 549 -1003
982 -3093 -2824; -310 561 -987
1036 -3079 -2832; -264 570 -975
1130 -3025 -2849; -227 581 -962
1180 -2964 -2821; -191 591 -949
1213 -2910 -2807; -145 603 -935
1255 -2861 -2751; -101 612 -922
1299 -2761 -2672; -77 623 -911
1300 -2718 -2682; -74 636 -904
1351 -2610 -2643; -68 646 -893
1455 -2525 -2612; -64 657 -888
1487 -2486 -2637; -64 671 -885
1458 -2394 -2627; -66 683 -878
1534 -2378 -2591; -54 692 -874
1591 -2339 -2571; -48 700 -869
1673 -2290 -2589; -79 707 -864
1737 -2262 -2605; -108 711 -859
1745 -2236 -2588; -123 717 -851
1735 -2200 -2574; -126 717 -840
1717 -2185 -2538; -103 716 -829
1746 -2188 -2523; -35 715 -814
1764 -2191 -2525; 57 708 -795
1829 -2160 -2517; 152 697 -774
1856 -2118 -2498; 254 678 -752
1896 -2077 -2474; 368 652 -724
1926 -2078 -2383; 459 623 -696
1901 -2093 -2384; 519 593 -661
1793 -2126 -2321; 573 551 -621
1751 -2222 -2101; 648 506 -571
1825 -2305 -2139; 734 462 -511
1788 -2495 -2196; 776 408 -442
1731 -2758 -2347; 802 347 -363
1809 -2854 -2410; 852 279 -260
1931 -3119 -2378; 972 194 -146
2174 -3475 -2558; 1073 113 -15
2204 -3552 -2710; 1095 27 160
1983 -3508 -2371; 1131 -89 358
1912 -3425 -1990; 1185 -186 535
2018 -3964 -2301; 1200 -225 664
2043 -4296 -2428; 1245 -285 836
2067 -4207 -2142; 1403 -384 1083
2054 -4683 -2336; 1691 -444 1313
1935 -5097 -2412; 2187 -485 1548
1968 -4970 -2271; 2912 -530 1833
2273 -4855 -2223; 3667 -537 2113
2489 -4787 -1909; 4239 -508 2380
2378 -4635 -1707; 4562 -450 2665
2257 -4889 -1522; 4695 -364 2934
2260 -5252 -1377; 4864 -260 3183
2231 -5385 -1310; 5265 -112 3442
2217 -5501 -1402; 5890 81 3688
2253 -5799 -1227; 6680 316 3900
2332 -5851 -1073; 7457 607 4095
2321 -5964 -642; 8159 951 4244
2142 -6070 72; 8742 1335 4327
1720 -5914 783; 9137 1760 4347
992 -6217 1728; 9234 2197 4292
384 -7000 2680; 8401 2587 4166
526 -7242 4407; 6341 2887 4032
376 -7008 4921; 4835 3192 3991
-287 -5739 4636; 4690 3504 3983
-1200 -5533 4895; 5977 3793 3845
-2077 -5173 4281; 8329 4221 3610
-2695 -4147 3969; 10814 4729 3246
-3015 -3249 4633; 12363 5164 2669
-3020 -2291 4367; 12623 5554 1963
-2979 -1727 3904; 11696 5820 1213
-3229 -1188 4062; 10052 5904 497
-3332 -387 3489; 8323 5928 -122
-3271 518 2851; 7123 5910 -646
-2810 1174 3276; 6972 5825 -1137
-2445 1575 3817; 7581 5714 -1655
-2472 1983 3406; 8332 5559 -2211
-2569 2274 2190; 8793 5317 -2785
-2373 1804 1138; 8812 4965 -3372
-2030 1492 389; 8399 4533 -3902
-1515 1635 57; 7799 4044 -4325
-776 1246 -272; 7374 3548 -4692
-169 621 -581; 7336 3040 -5010
233 -95 -1452; 7500 2502 -5244
962 461 -1746; 7786 1929 -5420
1420 723 -1730; 8617 1289 -5557
1552 732 -2164; 9844 599 -5637
2030 1333 -2130; 11166 -186 -5626
2361 3011 -423; 12754 -1120 -5442
2652 2255 -535; 14772 -2083 -5117
2662 -1194 -1756; 16933 -2958 -4725
2110 -1684 -1267; 18753 -3901 -3823
1652 -1470 -528; 19782 -4708 -2570
1658 -3143 783; 19684 -5239 -1317
1768 -3757 160; 18610 -5403 37
1442 -3412 -645; 17679 -5223 1355
558 -1494 68; 16776 -4928 2604
4 -998 410; 14894 -4464 3590
-172 -1510 245; 11410 -3955 4237
-751 -704 437; 6521 -3647 4702
-1272 -109 519; 1586 -3590 4881
-1094 1090 146; -1704 -3717 4822
-511 2911 864; -1833 -3904 4747
179 2059 350; 495 -3947 4674
916 796 638; 2083 -3868 4645
1166 -171 296; 2479 -3760 4745
1615 278 -738; 2659 -3620 4878
2062 68 -1168; 2960 -3503 4996
2547 881 -1154; 3567 -3352 5178
3066 1542 -1191; 4291 -3136 5397
3908 1679 -1131; 4958 -2867 5628
4694 2267 -1429; 5209 -2556 5873
6109 2010 -867; 5450 -2219 6077
6831 1454 188; 5588 -1865 6289
7226 1505 880; 5136 -1473 6510
7572 1896 1200; 4559 -1070 6711
7880 1736 1540; 4165 -686 6881
8456 1190 1840; 3804 -286 7037
9141 560 1890; 3349 126 7207
9890 -138 2454; 3017 499 7363
10597 -579 3101; 2974 863 7514
11068 -626 3249; 3058 1294 7673
11362 -936 3154; 3289 1772 7781
11429 -1115 3596; 3910 2264 7854
11817 -383 4277; 4831 2861 7896
11913 -409 4270; 5594 3547 7812
11888 -995 5152; 6445 4269 7573
11831 -1288 6030; 7816 5077 7242
12446 -1166 6554; 9345 5978 6747
13436 -563 7058; 10628 6851 6009
14251 -905 8013; 11979 7688 4986
14937 -2248 9269; 13340 8484 3729
14632 -1571 8253; 13847 9196 2396
14377 -2069 8807; 14657 9574 828
15067 -750 9758; 16374 9563 -915
14361 1913 7529; 18317 9330 -2755
13100 4132 6086; 19740 8520 -4744
11348 6896 5121; 20094 7080 -6551
9069 7883 3404; 18888 5312 -8028
6977 7599 3672; 15417 3360 -9026
5816 8167 3690; 10337 1727 -9521
5315 6776 1801; 7460 699 -9819
3453 2677 -141; 8625 -207 -9955
2928 379 1819; 12335 -1480 -9790
3046 -240 2928; 15118 -3059 -9245
2978 -613 1251; 13632 -4587 -8454
2792 -1040 1250; 10046 -5822 -7624
3196 -2200 622; 7287 -6615 -6888
4215 -2217 -149; 6002 -7093 -6232
4876 -184 -1008; 5558 -7491 -5538
5290 697 -1562; 6076 -7814 -4858
5965 -165 -1569; 7963 -8102 -4110
