1780 -542 -3530; 19 -67 -15
1741 -672 -3530; 37 -75 -18
1766 -672 -3600; 57 -103 -21
1737 -581 -3544; 24 -83 -36
1739 -582 -3464; 8 -56 -45
1735 -581 -3477; 18 -75 -42
1743 -568 -3530; 30 -106 -34
1739 -566 -3559; 26 -128 -28
1756 -592 -3558; 34 -143 -25
1742 -598 -3627; 57 -156 -36
1727 -595 -3669; 64 -157 -39
1703 -586 -3637; 48 -142 -40
1704 -555 -3676; 17 -132 -44
1704 -601 -3602; 10 -122 -47
1691 -591 -3645; 29 -119 -50
1677 -534 -3652; 42 -119 -58
1681 -487 -3644; 40 -106 -52
1683 -483 -3574; 42 -92 -41
1663 -522 -3564; 60 -92 -22
1721 -550 -3599; 64 -99 -5
1708 -576 -3590; 49 -93 -1
1721 -640 -3601; 54 -92 -1
1750 -750 -3609; 67 -92 -4
1770 -671 -3625; 54 -90 -34
1706 -572 -3587; 43 -83 -60
1696 -531 -3576; 40 -78 -58
1693 -509 -3556; 18 -82 -43
1692 -539 -3555; 20 -88 -25
1685 -539 -3557; 32 -92 -24
1692 -538 -3543; 46 -100 -24
1710 -600 -3594; 36 -116 -23
1733 -520 -3695; 37 -126 -27
1703 -548 -3723; 49 -115 -25
1760 -564 -3699; 40 -86 -13
1711 -579 -3652; 36 -63 -9
1715 -515 -3572; 23 -50 -16
1741 -475 -3513; 28 -40 -10
1732 -577 -3537; 52 -58 7
1790 -611 -3615; 62 -79 16
1790 -672 -3509; 57 -77 12
1780 -672 -3505; 57 -79 -6
1765 -644 -3545; 47 -94 -27
1761 -653 -3543; 40 -101 -35
1734 -609 -3576; 49 -112 -44
1731 -582 -3591; 53 -128 -49
1713 -560 -3600; 46 -133 -52
1675 -537 -3641; 54 -139 -51
1703 -554 -3709; 58 -139 -46
1667 -535 -3662; 55 -117 -40
1671 -496 -3594; 58 -98 -41
1673 -535 -3625; 75 -96 -36
1671 -531 -3594; 87 -96 -24
1699 -523 -3595; 63 -91 -16
1704 -566 -3536; 62 -87 -12
1720 -610 -3535; 89 -99 -12
1705 -585 -3571; 83 -109 -18
1697 -586 -3590; 83 -122 -20
1691 -598 -3590; 68 -118 -23
1690 -550 -3573; 59 -113 -25
1674 -484 -3570; 68 -116 -20
1690 -521 -3585; 79 -115 -3
1721 -595 -3584; 103 -119 19
1771 -732 -3579; 128 -130 25
1783 -697 -3678; 109 -138 -5
1741 -618 -3662; 87 -127 -31
1729 -587 -3616; 85 -115 -30
1697 -571 -3630; 87 -115 -17
1648 -663 -3564; 96 -119 -5
1659 -580 -3432; 154 -134 -35
1495 -688 -3325; 253 -148 -24
1639 -461 -3556; 165 -217 -41
1454 -345 -3477; 37 -251 -41
1395 -301 -3219; -31 -270 -11
1690 -230 -3765; -292 -361 74
1633 -654 -3775; -178 -492 152
1036 -969 -4076; -47 -540 174
1233 -316 -4522; -299 -457 74
1425 168 -4439; -781 -170 9
1592 114 -4005; -1026 38 55
1190 -304 -3901; -862 105 178
1188 -559 -3644; -521 59 234
1169 -799 -3922; -164 -58 135
1341 -583 -4369; 65 -184 -37
1187 -820 -4467; 320 -192 -187
1285 -608 -4302; 599 -98 -288
1374 -784 -4547; 331 99 -354
1541 -611 -3911; -217 432 -389
1633 -627 -3642; -1021 691 -428
1590 -455 -3459; -1558 767 -430
1495 -173 -4020; -1627 684 -451
343 295 -4467; -1813 627 -370
541 98 -3870; -2104 847 -108
1958 -397 -4457; -2466 1141 34
1327 336 -3629; -2889 1442 67
1819 370 -3081; -3169 1737 93
1800 1102 -2669; -3607 1846 129
205 446 -2962; -4117 1851 378
-234 41 -3078; -4489 1750 673
1813 191 -2568; -4700 1675 827
6954 473 -4200; -4265 1506 747
5363 1493 -1951; -890 1165 318
2613 1205 -2085; -7 511 87
2525 629 -2406; 431 -215 322
2227 339 -2555; 913 -668 310
2793 258 -3099; 1272 -802 135
2081 515 -2755; 1357 -772 -153
1969 497 -2922; 1462 -770 -382
2439 217 -3291; 1613 -856 -407
2670 238 -3212; 1692 -901 -434
2507 518 -3056; 1531 -809 -476
2150 1145 -2847; 1216 -576 -444
2186 1325 -3095; 978 -291 -300
2472 968 -2999; 670 -40 -128
2481 489 -2817; 502 185 -48
2761 160 -3084; 446 357 -64
3096 48 -3269; 396 536 -122
3116 334 -3345; 87 732 -173
3236 -333 -2368; -252 836 -222
2978 -721 -3028; 594 -297 -621
3946 -1614 -3965; 2582 -1722 -1224
1640 -396 -3999; 4436 -1761 -1696
-374 1318 -4533; 4749 -1588 -1849
1920 1645 -3467; 5163 -1280 -1591
3426 1337 -2990; 5209 -1077 -1040
2800 -109 -3142; 4826 -1371 -578
1227 478 -1097; 3200 -1307 -325
1230 715 -913; 260 -1043 -441
1604 -477 -2751; -2387 -1158 -273
2005 -616 -4864; -2835 -1488 -244
2778 -76 -6324; -2524 -1494 -555
2720 285 -5777; -1232 -1164 -794
2175 705 -4928; 274 -865 -905
2100 567 -5294; 202 -721 -929
1828 -49 -4964; -328 -446 -872
1731 -529 -3734; -326 -238 -917
1676 -925 -3676; -280 -408 -1067
1709 -1042 -4580; 46 -824 -1220
1719 -1132 -5703; 362 -1119 -1331
1795 -897 -6168; 707 -1101 -1409
2026 -570 -6308; 944 -849 -1419
1982 -810 -6011; 1180 -554 -1281
1554 -1746 -5449; 1519 -320 -1096
1490 -2735 -4463; 1878 -180 -1056
