341 -1359 -3774; 44 -92 -26
337 -1366 -3794; 42 -90 -26
353 -1358 -3764; 40 -90 -27
354 -1354 -3776; 37 -91 -26
354 -1333 -3781; 36 -91 -26
350 -1338 -3795; 36 -92 -25
349 -1347 -3792; 37 -92 -26
334 -1338 -3797; 37 -92 -26
320 -1327 -3764; 39 -92 -27
328 -1339 -3763; 41 -91 -27
347 -1310 -3783; 43 -91 -27
336 -1318 -3777; 41 -91 -26
335 -1347 -3743; 41 -92 -26
324 -1325 -3766; 39 -91 -26
344 -1312 -3779; 40 -91 -26
355 -1332 -3754; 45 -93 -26
348 -1351 -3771; 46 -94 -25
346 -1341 -3768; 48 -94 -25
355 -1346 -3779; 49 -95 -25
366 -1329 -3786; 47 -96 -26
344 -1347 -3780; 46 -97 -25
347 -1335 -3780; 46 -94 -25
354 -1348 -3778; 48 -94 -26
339 -1342 -3778; 49 -95 -26
349 -1349 -3776; 49 -95 -26
331 -1334 -3776; 47 -97 -26
324 -1339 -3773; 46 -96 -26
334 -1331 -3772; 48 -94 -28
353 -1331 -3777; 48 -94 -26
341 -1358 -3780; 47 -95 -27
346 -1348 -3786; 45 -94 -26
339 -1343 -3749; 47 -96 -24
345 -1317 -3767; 46 -97 -25
331 -1331 -3785; 46 -96 -24
321 -1335 -3793; 46 -96 -23
339 -1348 -3786; 48 -96 -24
337 -1343 -3768; 48 -95 -24
341 -1345 -3754; 48 -95 -25
325 -1341 -3780; 48 -95 -24
324 -1351 -3782; 45 -95 -24
329 -1368 -3783; 45 -95 -24
338 -1355 -3776; 45 -93 -25
316 -1359 -3778; 45 -94 -24
341 -1330 -3780; 45 -93 -25
347 -1355 -3774; 44 -92 -24
339 -1348 -3751; 45 -91 -24
337 -1352 -3792; 42 -92 -24
331 -1344 -3787; 42 -94 -25
314 -1340 -3793; 44 -95 -24
318 -1348 -3781; 44 -92 -24
334 -1336 -3767; 44 -93 -23
342 -1333 -3775; 45 -93 -24
345 -1336 -3779; 45 -92 -26
347 -1353 -3784; 43 -92 -26
347 -1348 -3749; 45 -91 -25
347 -1336 -3764; 45 -92 -25
336 -1333 -3758; 45 -93 -26
355 -1351 -3771; 45 -94 -24
