1272 1361 -3608; 43 -91 17
1299 1326 -3609; 81 -81 8
1236 1333 -3540; 56 -56 -41
1221 1335 -3488; 38 -62 -42
1207 1316 -3502; 61 -86 -28
1245 1325 -3553; 50 -84 -13
1244 1321 -3572; 53 -91 -10
1222 1336 -3544; 48 -104 -9
1224 1334 -3594; 56 -119 -5
1233 1323 -3592; 56 -124 -1
1240 1328 -3560; 36 -120 -5
1227 1333 -3556; 35 -120 -9
1242 1325 -3572; 45 -119 -15
1237 1326 -3571; 48 -112 -23
1223 1326 -3576; 48 -108 -34
1213 1343 -3578; 42 -105 -41
1176 1340 -3559; 51 -104 -37
1195 1359 -3616; 62 -106 -29
1187 1336 -3608; 63 -102 -17
1210 1313 -3605; 62 -100 -13
1219 1337 -3588; 53 -98 -10
1239 1316 -3576; 51 -96 -7
1242 1326 -3562; 43 -95 -8
1239 1332 -3549; 40 -93 -12
1243 1366 -3544; 45 -91 -20
1192 1310 -3501; 37 -87 -33
1161 1332 -3529; 34 -86 -42
1218 1341 -3580; 73 -97 -17
1241 1333 -3639; 61 -117 11
1237 1314 -3672; 52 -128 10
1244 1341 -3566; 53 -124 -5
1255 1309 -3545; 46 -119 -9
1262 1378 -3555; 68 -129 -6
1232 1321 -3553; 55 -110 -7
1212 1346 -3578; 57 -113 -5
1244 1362 -3562; 49 -105 -6
1253 1347 -3634; 9 -99 -5
1230 1358 -3629; 37 -96 -21
1289 1333 -3574; 46 -103 -14
1231 1316 -3574; 66 -121 -28
1212 1314 -3601; 33 -95 -23
1198 1299 -3578; 54 -101 -24
1171 1317 -3611; 53 -98 -27
1187 1282 -3556; 40 -94 -29
1198 1320 -3579; 33 -72 -25
1098 1274 -3590; 19 -67 -27
1215 1332 -3540; 25 -65 -39
1174 1298 -3501; 20 -81 -33
1224 1316 -3539; 26 -79 -14
1194 1289 -3478; 35 -92 -11
1270 1324 -3453; 36 -99 -13
1285 1317 -3543; 36 -99 5
1372 1337 -3615; 50 -123 14
1320 1298 -3712; 53 -145 -10
1209 1236 -3707; 59 -146 -38
1291 1274 -3509; 50 -92 -100
1226 1371 -3653; -62 -51 -135
1256 1337 -3480; -40 -48 -141
1203 1401 -3609; 10 -84 -159
1218 1457 -3672; -13 -103 -172
1116 1437 -3535; -23 -110 -171
1059 1414 -3511; -2 -125 -147
986 1320 -3465; 51 -120 -122
1112 1489 -3584; 6 -68 -128
1139 1387 -3653; -14 -57 -109
1209 1390 -3610; 25 -68 -83
1169 1395 -3638; -1 -105 -54
1218 1388 -3598; 32 -166 -71
1215 1372 -3579; 56 -172 -113
1218 1363 -3508; 45 -121 -128
1236 1329 -3467; 53 -65 -126
1258 1350 -3516; 34 -35 -130
1253 1361 -3518; -22 -23 -155
1154 1361 -3439; -36 -22 -181
1141 1314 -3555; -1 -29 -186
1149 1338 -3714; 59 -40 -185
1165 1315 -3675; 88 -19 -183
1177 1348 -3655; 68 16 -179
1272 1398 -3665; 70 24 -182
1290 1416 -3623; 90 35 -154
1343 1422 -3660; 54 55 -115
1328 1438 -3573; 21 79 -119
1249 1411 -3342; -17 103 -174
1092 1266 -3655; -196 206 -102
1264 1574 -3245; -121 310 -131
1134 1263 -3636; -171 238 -318
1245 1434 -3607; -219 253 -348
1181 1405 -3557; -121 245 -328
1281 1470 -3553; -118 220 -306
878 1347 -2746; -95 154 -309
1626 1483 -5129; -190 -571 -479
1427 1502 -3229; 336 -987 -683
1195 1512 -3379; 403 -764 -683
1101 1194 -3232; -167 -528 -349
1362 1786 -3481; -91 -287 -131
1207 1474 -3537; 141 -270 -123
1199 1448 -3518; 166 -217 -136
1325 1738 -4099; -120 -211 -269
1499 1621 -4469; 31 -252 -463
1355 1148 -5048; 553 -196 -706
854 1867 -4276; 1181 71 -1110
803 4301 -3988; 159 541 -1481
1031 5770 -3855; -1620 890 -1170
960 5625 -3292; -1275 1187 -358
759 4842 -2774; -1050 1311 597
917 4007 -2751; -667 1159 1352
1001 3378 -3213; -209 809 1799
1077 2870 -3565; 371 348 2027
1107 2796 -3848; 911 -114 2060
1326 3257 -4364; 1022 -396 1929
1548 3988 -4833; 782 -406 1780
1324 4520 -4806; 632 -138 1729
1014 4608 -4275; 657 232 1837
810 4409 -3545; 686 493 2083
647 3883 -3118; 468 533 2369
539 2714 -2817; 452 231 2666
797 754 -3418; 823 -418 2786
