3861 274 -1550; 103 0 -26
3874 281 -1555; 115 5 -26
3898 316 -1534; 116 7 -28
3888 308 -1557; 106 12 -29
3886 321 -1575; 96 12 -34
3909 304 -1591; 82 11 -39
3919 321 -1630; 65 12 -44
3945 326 -1617; 61 6 -49
3953 312 -1618; 60 1 -53
3940 276 -1619; 57 -5 -56
3923 260 -1636; 55 -11 -60
3932 300 -1586; 66 -15 -62
3894 337 -1527; 70 -22 -65
3862 355 -1519; 57 -28 -69
3817 336 -1526; 33 -27 -71
3791 292 -1508; 23 -30 -73
3775 336 -1510; 27 -29 -74
3770 351 -1528; 27 -30 -74
3772 332 -1532; 15 -29 -73
3775 282 -1517; 7 -27 -71
3774 285 -1508; 13 -27 -68
3785 307 -1481; 28 -26 -63
3790 290 -1507; 23 -24 -59
3806 257 -1555; 15 -25 -55
3797 244 -1590; 11 -28 -49
3810 233 -1629; 14 -31 -43
3837 229 -1641; 28 -38 -38
3842 243 -1662; 38 -45 -31
3873 286 -1665; 45 -53 -26
3975 433 -1727; 32 -64 -24
3903 275 -1591; -2 -75 -25
3963 397 -1632; 22 -78 -23
3956 328 -1474; 42 -87 -28
3918 433 -1457; 34 -87 -29
3930 525 -1471; 32 -87 -38
3900 444 -1322; 28 -86 -50
3985 510 -1356; -25 -78 -58
3935 502 -1392; -78 -72 -72
3901 451 -1383; -105 -63 -81
3881 432 -1347; -110 -50 -89
3858 397 -1393; -137 -41 -97
3828 331 -1405; -158 -28 -103
3779 340 -1414; -150 -17 -106
3773 299 -1457; -151 -4 -111
3758 300 -1468; -157 8 -112
3772 262 -1501; -169 16 -113
3741 184 -1544; -194 28 -115
3740 153 -1543; -196 36 -112
3736 135 -1585; -173 43 -107
3752 160 -1601; -143 49 -104
3739 141 -1605; -124 53 -98
3745 131 -1599; -110 54 -92
3754 137 -1635; -100 53 -86
3748 88 -1637; -95 52 -82
3762 61 -1649; -68 45 -76
3785 115 -1663; -33 39 -69
3818 155 -1642; -10 31 -64
3810 144 -1598; -11 22 -61
3809 171 -1579; -13 11 -57
3850 204 -1553; -15 3 -54
3871 195 -1566; -29 -6 -54
3868 179 -1545; -35 -15 -53
3846 171 -1508; -15 -23 -53
3849 216 -1507; 10 -29 -52
3826 219 -1479; 18 -37 -52
3840 226 -1480; 20 -44 -53
3874 273 -1492; 30 -51 -54
3867 312 -1450; 39 -55 -58
3860 311 -1405; 38 -60 -60
3846 368 -1358; 35 -64 -64
3855 353 -1361; 22 -66 -69
3842 310 -1357; 2 -67 -73
3861 306 -1376; -9 -68 -78
3872 335 -1422; -3 -70 -81
3847 322 -1432; -3 -69 -84
3842 347 -1456; -10 -74 -87
3856 315 -1483; -25 -76 -88
3848 260 -1488; -30 -79 -86
3819 258 -1447; -21 -82 -85
3788 275 -1443; -6 -84 -81
3796 260 -1439; 1 -84 -76
3809 283 -1482; -3 -86 -74
3825 253 -1502; -13 -86 -68
3849 194 -1525; -16 -88 -62
3874 237 -1517; 8 -91 -54
3903 308 -1512; 32 -92 -48
3891 299 -1497; 31 -92 -43
3883 279 -1494; 25 -94 -39
3912 257 -1492; 27 -95 -36
3914 236 -1503; 37 -99 -33
3934 279 -1493; 49 -99 -30
3933 288 -1514; 47 -101 -27
3921 242 -1510; 37 -106 -25
3928 225 -1504; 41 -111 -21
3955 237 -1534; 55 -114 -20
3938 248 -1511; 65 -116 -18
